2017-12-17 14:53:28.494571 I | etcdmain: etcd Version: 2.3.8
2017-12-17 14:53:28.494640 I | etcdmain: Git SHA: 7e4fc7e
2017-12-17 14:53:28.494655 I | etcdmain: Go Version: go1.7.5
2017-12-17 14:53:28.494664 I | etcdmain: Go OS/Arch: linux/amd64
2017-12-17 14:53:28.494675 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2017-12-17 14:53:28.494687 W | etcdmain: no data-dir provided, using default data-dir ./default.etcd
2017-12-17 14:53:38.496092 I | etcdmain: listening for peers on http://localhost:2380
2017-12-17 14:53:48.497206 I | etcdmain: listening for peers on http://localhost:7001
2017-12-17 14:53:58.499400 I | etcdmain: listening for client requests on http://localhost:2379
2017-12-17 14:54:08.501098 I | etcdmain: listening for client requests on http://localhost:4001
2017-12-17 14:54:08.502176 I | etcdserver: name = default
2017-12-17 14:54:08.502224 I | etcdserver: data dir = default.etcd
2017-12-17 14:54:08.502253 I | etcdserver: member dir = default.etcd/member
2017-12-17 14:54:08.502278 I | etcdserver: heartbeat = 100ms
2017-12-17 14:54:08.502358 I | etcdserver: election = 1000ms
2017-12-17 14:54:08.502385 I | etcdserver: snapshot count = 10000
2017-12-17 14:54:08.502438 I | etcdserver: advertise client URLs = http://localhost:2379,http://localhost:4001
2017-12-17 14:54:08.502480 I | etcdserver: initial advertise peer URLs = http://localhost:2380,http://localhost:7001
2017-12-17 14:54:08.502540 I | etcdserver: initial cluster = default=http://localhost:2380,default=http://localhost:7001
2017-12-17 14:54:08.509079 I | etcdserver: starting member ce2a822cea30bfca in cluster 7e27652122e8b2ae
2017-12-17 14:54:08.509278 I | raft: ce2a822cea30bfca became follower at term 0
2017-12-17 14:54:08.509329 I | raft: newRaft ce2a822cea30bfca [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2017-12-17 14:54:08.509369 I | raft: ce2a822cea30bfca became follower at term 1
2017-12-17 14:54:08.510227 I | etcdserver: starting server... [version: 2.3.8, cluster version: to_be_decided]
2017-12-17 14:54:08.512312 N | etcdserver: added local member ce2a822cea30bfca [http://localhost:2380 http://localhost:7001] to cluster 7e27652122e8b2ae
2017-12-17 14:54:08.910437 I | raft: ce2a822cea30bfca is starting a new election at term 1
2017-12-17 14:54:08.910532 I | raft: ce2a822cea30bfca became candidate at term 2
2017-12-17 14:54:08.910667 I | raft: ce2a822cea30bfca received vote from ce2a822cea30bfca at term 2
2017-12-17 14:54:08.910839 I | raft: ce2a822cea30bfca became leader at term 2
2017-12-17 14:54:08.910911 I | raft: raft.node: ce2a822cea30bfca elected leader ce2a822cea30bfca at term 2
2017-12-17 14:54:08.911647 I | etcdserver: setting up the initial cluster version to 2.3
2017-12-17 14:54:08.911758 I | etcdserver: published {Name:default ClientURLs:[http://localhost:2379 http://localhost:4001]} to cluster 7e27652122e8b2ae
2017-12-17 14:54:08.916601 N | etcdserver: set the initial cluster version to 2.3
